Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
circuit5M.mtx,guided,8,1024,102.78020000000001,1.532035,0.9689465480705426,12.111831850881781
circuit5M.mtx,static,16,1,214.7303,0.692892,0.46378419813133026,2.8986512383208143
circuit5M.mtx,static,16,4,132.20749999999998,1.020084,0.7532743603804626,4.707964752377891
circuit5M.mtx,static,16,16,78.16798,1.546167,1.2740321548541997,7.962700967838749
circuit5M.mtx,static,16,64,69.08929,1.766672,1.4414465686360358,9.009041053975224
circuit5M.mtx,static,16,256,57.11163,2.122064,1.7437520168834262,10.898450105521414
circuit5M.mtx,static,16,1024,59.61307,2.0512420000000002,1.670581971369701,10.441137321060632
circuit5M.mtx,dynamic,16,1,519.7914,0.23322199999999998,0.1915932429817038,1.1974577686356487
circuit5M.mtx,dynamic,16,4,192.7527,0.6510454,0.5166647211686268,3.229154507303918
circuit5M.mtx,dynamic,16,16,86.59693,1.408159,1.150023678668516,7.187647991678226
circuit5M.mtx,dynamic,16,64,66.68356,1.8189170000000001,1.493449359932193,9.334058499576207
circuit5M.mtx,dynamic,16,256,62.289789999999996,2.0286519999999997,1.5987936385722281,9.992460241076426
circuit5M.mtx,dynamic,16,1024,67.87465,1.8536890000000001,1.4672417463662795,9.170260914789246
circuit5M.mtx,guided,16,1,87.11822000000001,1.5402239999999998,1.1431422726497393,7.144639204060871
circuit5M.mtx,guided,16,4,85.37526,1.852239,1.166479844395203,7.290499027470018
circuit5M.mtx,guided,16,16,86.74972,1.799866,1.1479981722131205,7.174988576332003
